year,surface,2ndRnWon%,svWon%,1stRnWon%,outcome,2ndRnWon%player_w,2ndRnWon%player_l,2ndRnWon%opponent_w,2ndRnWon%opponent_l,2ndRnWon%playerCommon_w,2ndRnWon%playerCommon_l,2ndRnWon%opponentCommon_w,2ndRnWon%opponentCommon_l,2ndRnWon%pVariance_w,2ndRnWon%pVariance_l,2ndRnWon%oVariance_w,2ndRnWon%oVariance_l,2ndRnWon%pCommonVar_w,2ndRnWon%pCommonVar_l,2ndRnWon%oCommonVar_w,2ndRnWon%oCommonVar_l,1stRnWon%player_w,1stRnWon%player_l,1stRnWon%opponent_w,1stRnWon%opponent_l,1stRnWon%playerCommon_w,1stRnWon%playerCommon_l,1stRnWon%opponentCommon_w,1stRnWon%opponentCommon_l,1stRnWon%pVariance_w,1stRnWon%pVariance_l,1stRnWon%oVariance_w,1stRnWon%oVariance_l,1stRnWon%pCommonVar_w,1stRnWon%pCommonVar_l,1stRnWon%oCommonVar_w,1stRnWon%oCommonVar_l,svWon%player_w,svWon%player_l,svWon%opponent_w,svWon%opponent_l,svWon%playerCommon_w,svWon%playerCommon_l,svWon%opponentCommon_w,svWon%opponentCommon_l,svWon%pVariance_w,svWon%pVariance_l,svWon%oVariance_w,svWon%oVariance_l,svWon%pCommonVar_w,svWon%pCommonVar_l,svWon%oCommonVar_w,svWon%oCommonVar_l
2008,0,0.166666667,0.536363636,0.25,0,0.534047556,0.274624793,0.554376065,0.326397215,0.519110069,0.248308069,0.595199513,0.34890541,0.006208981,0.004389293,0.006192961,0.017987881,0.002489087,0.003487059,0.005281691,0.023531321,0.326323522,0.266385735,0.387170763,0.265069794,0.287562539,0.277251425,0.353261007,0.279379242,0.008138924,0.007199602,0.008933637,0.003798688,0.005995119,0.006455259,0.005959585,0.002317724,0.688719311,0.601141807,0.673449149,0.586020975,0.714429601,0.59831165,0.619411701,0.566356774,0.002887773,0.002549868,0.003360635,0.002915635,0.002470349,0.001111168,0.001097515,0.002871271
2008,0,0.634920635,0.611111111,0.384615385,1,0.570133116,0.267825485,0.587048355,0.299580267,0.544931152,0.265511393,0.568329013,0.29209811,0.008649473,0.005075984,0.00780682,0.01150981,0.005798198,0.004607991,0.002730583,0.010927276,0.376190889,0.267307891,0.344683965,0.197659185,0.334241768,0.270899413,0.323361217,0.191438254,0.009021645,0.004915135,0.021214413,0.004615464,0.005564977,0.006093756,0.006159488,0.004996523,0.684230215,0.588471469,0.719951607,0.606140463,0.680111009,0.576990582,0.701250463,0.605627729,0.004905563,0.004160714,0.007592604,0.009206998,0.003563232,0.004683167,0.002705074,0.010597163
2008,0,0.020408163,0.373134328,0.204081633,0,0.566541487,0.28710948,0.597493067,0.3221568,0.576184318,0.242567118,0.527766311,0.271398861,0.004298743,0.011526512,0.006475253,0.016483713,0.002732718,0.01154835,0.005667992,0.00273312,0.368811603,0.231700084,0.382556636,0.290639636,0.42227215,0.261629252,0.357253101,0.331199388,0.006865616,0.003199679,0.005211229,0.004498761,0.002521388,0.001331023,0.00321588,0.001380208,0.677272938,0.548314596,0.651286002,0.540030926,0.607617722,0.515335414,0.647644764,0.518527509,0.005539723,0.00294303,0.003183875,0.002128236,0.001876678,0.002805604,0.004664102,0.001008546
2008,0,0.392857143,0.717741935,0.352272727,1,0.43862782,0.226489162,0.566194966,0.283013161,0.35,0.166666667,0.60106383,0.265306122,0.00301016,0.003459447,0.007862321,0.009010774,0,0,0.004360901,0,0.432497474,0.220600785,0.361342266,0.256438775,0.563636364,0.166666667,0.311179004,0.224489796,0.008385973,0.003399846,0.002424956,0.002942316,0,0,0.00247833,0,0.719505809,0.620498815,0.677962823,0.588073549,0.757575758,0.636363636,0.717671974,0.572916667,0.000769907,0.000177389,0.002499318,0.001486999,0,0,0.002047729,0
2008,0,0.5,0.643312102,0.153846154,1,0.514477896,0.243693003,0.575458402,0.262057871,0.472222222,0.122807018,0.55,0.324324324,0.005217309,0.00937638,0.008620182,0.010256642,0,0,0,0,0.343032719,0.202469457,0.336463649,0.242541252,0.345238095,0.175438596,0.622641509,0.243243243,0.004064762,0.004245361,0.008653853,0.002383174,0,0,0,0,0.701660464,0.582141675,0.707670386,0.552673606,0.664,0.535353535,0.653333333,0.589147287,0.002140987,0.005011949,0.004110494,0.001948782,0,0,0,0
2008,0,0.524590164,0.585034014,0.395833333,1,0.564907118,0.329749425,0.609742647,0.243279693,0.526785714,0.65483871,0.59375,0.303413886,0.002223304,0.025559544,0.0015428,0.011198228,0.000717474,0.003007284,0,1.47E-07,0.341867844,0.240564774,0.410106502,0.18397635,0.364130435,0.110035842,0.452830189,0.166858458,0.007501947,0.010345593,0.002780423,0.004747355,0.00357396,0.002072044,0,0.000223793,0.677566032,0.593044463,0.673774532,0.513599062,0.658579634,0.520386888,0.65,0.546753247,0.002084597,0.004023491,0.002833412,0.008686262,0.001454788,0.000676253,0,0.002835217
2008,0,0.338461538,0.456790123,0.338461538,0,0.576762695,0.260670142,0.539396718,0.280107565,0.589598997,0.394615385,0.567567568,0.265708191,0.001126537,0.011598245,0.005327466,0.011408535,0.001762316,0.000644379,0,0.011429706,0.311521563,0.26948815,0.321776083,0.247587465,0.343474178,0.293076923,0.391304348,0.199209011,0.005771125,0.003624193,0.004108712,0.004277481,0.001354793,0.002201775,0,0.005160813,0.659762723,0.565817488,0.67663968,0.588021724,0.674927676,0.573729251,0.666666667,0.578306714,0.000724132,0.003768282,0.002674685,0.003730023,0.000368255,1.76E-05,0,0.006355643
2008,0,0.431818182,0.560810811,0.504672897,1,0.532426813,0.26306999,0.571195607,0.314135774,0.544210195,0.339429465,0.579495418,0.287671236,0.004413938,0.008568968,0.004428379,0.02196196,0.005549207,0.008212159,0.001568177,0.006392572,0.343753758,0.257504159,0.341040738,0.271374084,0.309428415,0.250410062,0.325863233,0.274771165,0.008237166,0.005486009,0.003835331,0.002792529,0.007621581,0.005448598,0.002116958,0.003361077,0.695762927,0.586406771,0.670055619,0.578653671,0.705732811,0.566046281,0.667136155,0.591294926,0.00207135,0.003483676,0.002835447,0.00289561,0.002550507,0.00256274,0.000694374,0.002279807
2008,0,0.444444444,0.64516129,0.373493976,1,0.551722527,0.331789127,0.556182065,0.188753641,0.536231884,0.383265068,0.5515625,0.252614497,0.004683254,0.014871076,0.000524173,0.016681164,0,0.016833514,0.000705566,0.000344917,0.345638212,0.257084564,0.358657309,0.251113953,0.348484848,0.279537546,0.423076923,0.243959611,0.004469646,0.004099517,0.01605483,0.009887014,0,0.003581228,0.023668639,0.009029454,0.655042077,0.5723786,0.632031031,0.528249173,0.583333333,0.547264419,0.651141827,0.580357143,0.002750286,0.004531684,0.001044576,0.002560403,0,0.001287003,7.31E-06,0.001496953
2008,0,0.133333333,0.546666667,0.2,0,0.527069984,0.282954729,0.545779096,0.21724201,0.513549855,0.313387131,0.541073957,0.202683877,0.006618492,0.009943859,0.007716029,0.007745831,0.002362376,0.009407972,0.008412796,0.007156864,0.357139484,0.271406607,0.369684707,0.318742515,0.315738563,0.262070342,0.341205559,0.321723969,0.006069022,0.004980019,0.00737189,0.001448576,0.006098542,0.005451998,0.004794742,0.001584403,0.701330397,0.577700753,0.716606126,0.601707884,0.70711062,0.581969224,0.714699173,0.600448108,0.004114087,0.00471014,0.002964331,0.001879671,0.003276524,0.00576376,0.002309705,0.002135499
